AU-SA,145,2023-06-21T15:00:00.000Z
AU-SA,148,2023-06-21T16:00:00.000Z
AU-SA,158,2023-06-21T17:00:00.000Z
AU-SA,153,2023-06-21T18:00:00.000Z
AU-SA,146,2023-06-21T19:00:00.000Z
AU-SA,150,2023-06-21T20:00:00.000Z
AU-SA,169,2023-06-21T21:00:00.000Z
AU-SA,178,2023-06-21T22:00:00.000Z
AU-SA,156,2023-06-21T23:00:00.000Z
AU-SA,166,2023-06-22T00:00:00.000Z
AU-SA,153,2023-06-22T01:00:00.000Z
AU-SA,143,2023-06-22T02:00:00.000Z
AU-SA,136,2023-06-22T03:00:00.000Z
AU-SA,135,2023-06-22T04:00:00.000Z
AU-SA,128,2023-06-22T05:00:00.000Z
AU-SA,136,2023-06-22T06:00:00.000Z
AU-SA,149,2023-06-22T07:00:00.000Z
AU-SA,153,2023-06-22T08:00:00.000Z
AU-SA,150,2023-06-22T09:00:00.000Z
AU-SA,129,2023-06-22T10:00:00.000Z
AU-SA,116,2023-06-22T11:00:00.000Z
AU-SA,84,2023-06-22T12:00:00.000Z
AU-SA,86,2023-06-22T13:00:00.000Z
AU-SA,74,2023-06-22T14:00:00.000Z
AU-TAS,24,2023-06-21T15:00:00.000Z
AU-TAS,24,2023-06-21T16:00:00.000Z
AU-TAS,23,2023-06-21T17:00:00.000Z
AU-TAS,23,2023-06-21T18:00:00.000Z
AU-TAS,24,2023-06-21T19:00:00.000Z
AU-TAS,25,2023-06-21T20:00:00.000Z
AU-TAS,42,2023-06-21T21:00:00.000Z
AU-TAS,50,2023-06-21T22:00:00.000Z
AU-TAS,35,2023-06-21T23:00:00.000Z
AU-TAS,23,2023-06-22T00:00:00.000Z
AU-TAS,26,2023-06-22T01:00:00.000Z
AU-TAS,24,2023-06-22T02:00:00.000Z
AU-TAS,24,2023-06-22T03:00:00.000Z
AU-TAS,37,2023-06-22T04:00:00.000Z
AU-TAS,47,2023-06-22T05:00:00.000Z
AU-TAS,36,2023-06-22T06:00:00.000Z
AU-TAS,30,2023-06-22T07:00:00.000Z
AU-TAS,34,2023-06-22T08:00:00.000Z
AU-TAS,22,2023-06-22T09:00:00.000Z
AU-TAS,23,2023-06-22T10:00:00.000Z
AU-TAS,23,2023-06-22T11:00:00.000Z
AU-TAS,23,2023-06-22T12:00:00.000Z
AU-TAS,23,2023-06-22T13:00:00.000Z
AU-TAS,23,2023-06-22T14:00:00.000Z
AU-VIC,597,2023-06-21T15:00:00.000Z
AU-VIC,606,2023-06-21T16:00:00.000Z
AU-VIC,626,2023-06-21T17:00:00.000Z
AU-VIC,625,2023-06-21T18:00:00.000Z
AU-VIC,607,2023-06-21T19:00:00.000Z
AU-VIC,532,2023-06-21T20:00:00.000Z
AU-VIC,481,2023-06-21T21:00:00.000Z
AU-VIC,486,2023-06-21T22:00:00.000Z
AU-VIC,489,2023-06-21T23:00:00.000Z
AU-VIC,506,2023-06-22T00:00:00.000Z
AU-VIC,498,2023-06-22T01:00:00.000Z
AU-VIC,491,2023-06-22T02:00:00.000Z
AU-VIC,482,2023-06-22T03:00:00.000Z
AU-VIC,491,2023-06-22T04:00:00.000Z
AU-VIC,480,2023-06-22T05:00:00.000Z
AU-VIC,453,2023-06-22T06:00:00.000Z
AU-VIC,481,2023-06-22T07:00:00.000Z
AU-VIC,466,2023-06-22T08:00:00.000Z
AU-VIC,428,2023-06-22T09:00:00.000Z
AU-VIC,417,2023-06-22T10:00:00.000Z
AU-VIC,437,2023-06-22T11:00:00.000Z
AU-VIC,451,2023-06-22T12:00:00.000Z
AU-VIC,435,2023-06-22T13:00:00.000Z
AU-VIC,440,2023-06-22T14:00:00.000Z
AU-WA,574,2023-06-21T15:00:00.000Z
AU-WA,579,2023-06-21T16:00:00.000Z
AU-WA,592,2023-06-21T17:00:00.000Z
AU-WA,588,2023-06-21T18:00:00.000Z
